YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
,-------,-----------------------,-----------,--------,---------,---------,---------,--------,---------,---------
2013,CT00015,BRIDGEPORT,"147,076",3,0,0,0,0,0,0
2013,CT00034,DANBURY,"83,363",2,0,0,0,0,0,0
2013,CT00049,ENFIELD,"44,661",1,0,0,0,0,0,0
2013,CT00054,GLASTONBURY,"34,782",1,0,0,0,0,0,0
2013,CT00060,GUILFORD,"22,409",1,0,0,0,0,0,0
2013,CT00064,HARTFORD,"124,927",3,0,0,0,0,0,0
2013,CT00069,DANIELSON,"4,014",1,0,0,0,0,0,0
2013,CT00077,MANCHESTER,"58,304",5,0,0,0,0,0,0
2013,CT00080,MERIDEN,"60,558",2,0,0,0,0,0,0
2013,CT00084,MILFORD,"53,041",2,0,0,0,0,0,0
2013,CT00086,MONTVILLE,"19,726",1,0,0,0,0,0,0
2013,CT00089,NEW BRITAIN,"73,134",1,0,0,0,0,0,0
2013,CT00093,NEW HAVEN,"131,071",1,0,0,0,0,0,0
2013,CT00094,NEWINGTON,"30,612",3,0,0,0,0,0,0
2013,CT00104,NORWICH,"40,485",1,0,0,0,0,0,0
2013,CT00110,PLAINVILLE,"17,850",1,0,0,0,0,0,0
2013,CT00132,SOUTH WINDSOR,"25,871",1,0,0,0,0,0,0
2013,CT00135,STAMFORD,"125,876",1,0,0,0,0,0,0
2013,CT00143,TORRINGTON,"35,634",1,0,0,0,0,0,0
2013,CT00151,WATERBURY,"109,763",5,0,0,0,0,0,0
2013,CT00156,WEST HAVEN,"55,349",1,0,0,0,0,0,0
2013,CT00170,"UNIV OF CT: STORRS, AP&H",0,2,0,0,0,0,0,0
2013,DCMPD00,WASHINGTON,"646,449",12,0,0,0,0,0,0
